Country Name,Country Code,Education Expenditure,GDP,Literacy Rate,Employment Rate
Upper middle income,UMC,3.729944944,3.13879E+13,96.09241618,61.41028585
Uruguay,URY,4.369999886,83347447461,98.81895541,60.10974806
Uzbekistan,UZB,5.28399992,99577694748,99.9999782,55.92635438
Vanuatu,VUT,2.173589945,1170603706,89.31431043,66.54007161
"Venezuela, RB",VEN,6.874680042,5.42351E+11,97.74924569,54.45320212
Viet Nam,VNM,2.898000002,4.52247E+11,96.23462699,72.53340456
Virgin Islands (U.S.),VIR,0,4444000000,0,48.002
West Bank and Gaza,PSE,5.434420109,19106639528,97.94983429,37.24728982
"Yemen, Rep.",YEM,5.464789867,23742269143,56.36896666,30.64852235
Zambia,ZMB,3.582999945,29988174771,87.90513434,58.44204159
Zimbabwe,ZWE,2.050489902,27522743612,90.03826191,60.65261264
